Speaker,Talk
袭人,那里没找到，摸在这里来．那边大老爷身上不好，姑娘们都过去请安，老太太叫打发你去呢．快回去换衣裳去罢。
黛玉,原来姹紫嫣红开遍，似这般都付与断井颓垣。
林黛玉,良辰美景奈何天，赏心乐事谁家院．
林黛玉,你在幽闺自怜
有人,你作什么一个人在这里？
林黛玉,你这个傻丫头，唬我这么一跳好的．你这会子打那里来？
香菱,我来寻我们的姑娘的，找他总找不着．你们紫鹃也找你呢，说琏二奶奶送了什么茶叶来给你的．走罢，回家去坐着。
宝玉,你往那里去了？老太太等着你呢，叫你过那边请大老爷的安去．还不快换了衣服走呢．
猴,好姐姐，把你嘴上的胭脂赏我吃了罢。
鸳鸯,袭人，你出来瞧瞧．你跟他一辈子，也不劝劝，还是这么着。
袭人,左劝也不改，右劝也不改，你到底是怎么样？你再这么着，这个地方可就难住了。
宝玉,你怎么发呆，连他也不认得？他是后廊上住的五嫂子的儿子芸儿．
宝玉,是了，是了，我怎么就忘了。
贾芸,找二叔说句话。
宝玉,你倒比先越发出挑了，倒象我的儿子。
贾琏,好不害臊！人家比你大四五岁呢，就替你作儿子了？
宝玉,你今年十几岁了？
贾芸,十八岁。
贾芸,俗语说的，`摇车里的爷爷，拄拐的孙孙-．虽然岁数大，山高高不过太阳．只从我父亲没了，这几年也无人照管教导．如若宝叔不嫌侄儿蠢笨，认作儿子，就是我的造化了。
贾琏,你听见了？认儿子不是好开交的呢．
宝玉,明儿你闲了，只管来找我，别和他们鬼鬼祟祟的．这会子我不得闲儿．明儿你到书房里来，和你说天话儿，我带你园里顽耍去。
贾赦,带哥儿进去太太屋里坐着。
邢夫人,那里找活猴儿去！你那奶妈子死绝了，也不收拾收拾你，弄的黑眉乌嘴的，那里象大家子念书的孩子！
宝玉,你且坐着，我还和你说话呢．
邢夫人,你们回去，各人替我问你们各人母亲好．你们姑娘，姐姐，妹妹都在这里呢，闹的我头晕，今儿不留你们吃饭了。
宝玉,可是姐姐们都过来了，怎么不见？
邢夫人,他们坐了一会子，都往后头不知那屋里去了．
宝玉,大娘方才说有话说，不知是什么话？
邢夫人,那里有什么话，不过是叫你等着，同你姊妹们吃了饭去．还有一个好玩的东西给你带回去玩。
贾琏,前儿倒有一件事情出来，偏生你婶子再三求了我，给了贾芹了．他许了我，说明儿园里还有几处要栽花木的地方，等这个工程出来，一定给你就是了。
贾芸,既是这样，我就等着罢．叔叔也不必先在婶子跟前提我今儿来打听的话，到跟前再说也不迟。
贾琏,提他作什么，我那里有这些工夫说闲话儿呢．明儿一个五更，还要到兴邑去走一趟，须得当日赶回来才好．你先去等着，后日起更以后你来讨信儿，来早了我不得闲。
贾芸,有件事求舅舅帮衬帮衬．我有一件事，用些冰片麝香使用，好歹舅舅每样赊四两给我，八月里按数送了银子来。
卜世仁,再休提赊欠一事．前儿也是我们铺子里一个伙计，替他的亲戚赊了几两银子的货，至今总未还上．因此我们大家赔上，立了合同，再不许替亲友赊欠．谁要赊欠，就要罚他二十两银子的东道．况且如今这个货也短，你就拿现银子到我们这不三不四的铺子里来买，也还没有这些，只好倒扁儿去．这是一．二则你那里有正经事，不过赊了去又是胡闹．你只说舅舅见你一遭儿就派你一遭儿不是．你小人儿家很不知好歹，也到底立个主见，赚几个钱，弄得穿是穿吃是吃的，我看着也喜欢。
贾芸,舅舅说的倒干净．我父亲没的时候，我年纪又小，不知事．后来听见我母亲说，都还亏舅舅们在我们家出主意，料理的丧事．难道舅舅就不知道的，还是有一亩地两间房子，如今在我手里花了不成？巧媳妇做不出没米的粥来，叫我怎么样呢？还亏是我呢，要是别个，死皮赖脸三日两头儿来缠着舅舅，要三升米二升豆子的，舅舅也就没有法呢。
卜世仁,我的儿，舅舅要有，还不是该的．我天天和你舅母说，只愁你没算计儿．你但凡立的起来，到你大房里，就是他们爷儿们见不着，便下个气，和他们的管家或者管事的人们嬉和嬉和，也弄个事儿管管．前日我出城去，撞见了你们三房里的老四，骑着大叫驴，带着五辆车，有四五十和尚道士，往家庙去了．他那不亏能干，这事就到他了！
卜世仁,怎么急的这样，吃了饭再去罢。
娘子,你又糊涂了．说着没有米，这里买了半斤面来下给你吃，这会子还装胖呢．留下外甥挨饿不成？
卜世仁,再买半斤来添上就是了。
娘子,银姐，往对门王奶奶家去问，有钱借二三十个，明儿就送过来。
醉汉,臊你娘的！瞎了眼睛，碰起我来了．贾芸忙要躲身，早被那醉汉一把抓住，对面一看，不是别人，却是紧邻倪二．原来这倪二是个泼皮，专放重利债，在赌博场吃闲钱，专管打降吃酒．如今正从欠钱人家索了利钱，吃醉回来，不想被贾芸碰了一头，正没好气，抡拳就要打．只听那人叫道：
倪二,原来是贾二爷，我该死，我该死．这会子往那里去？
贾芸,告诉不得你，平白的又讨了个没趣儿。
倪二,不妨不妨，有什么不平的事，告诉我，替你出气．这三街六巷，凭他是谁，有人得罪了我醉金刚倪二的街坊，管叫他人离家散！
贾芸,老二，你且别气，听我告诉你这原故。
贾芸,素日倪二虽然是泼皮无赖，却因人而使，颇颇的有义侠之名．若今日不领他这情，怕他臊了，倒恐生事．不如借了他的，改日加倍还他也倒罢了。
倪二,好会说话的人．我却听不上这话．既说`相与交结-四个字，如何放帐给他，使他的利钱！既把银子借与他，图他的利钱，便不是相与交结了．闲话也不必讲．既肯青目，这是十五两三钱有零的银子，便拿去治买东西．你要写什么文契，趁早把银子还我，让我放给那些有指望的人使去．
贾芸,我便不写罢了，有何着急的。
倪二,这不是话．天气黑了，也不让茶让酒，我还到那边有点事情去，你竟请回去．我还求你带个信儿与舍下，叫他们早些关门睡罢，我不回家去了，倘或有要紧事儿，叫我们女儿明儿一早到马贩子王短腿家来找我。
贾芸,不妨，等那件事成了，也可加倍还他。
周瑞家的,先别扫，奶奶出来了。
贾芸,二婶婶那去？
周瑞家的,老太太叫，想必是裁什么尺头。
贾芸,只是身上不大好，倒时常记挂着婶子，要来瞧瞧，又不能来。
凤姐,可是会撒谎，不是我提起他来，你就不说他想我了．
贾芸,侄儿不怕雷打了，就敢在长辈前撒谎．昨儿晚上还提起婶子来，说婶子身子生的单弱，事情又多，亏婶子好大精神，竟料理的周周全全，要是差一点儿的，早累的不知怎么样呢。
凤姐,怎么好好的你娘儿们在背地里嚼起我来？
贾芸,有个原故，只因我有个朋友，家里有几个钱，现开香铺．只因他身上捐着个通判，前儿选了云南不知那一处，连家眷一齐去，把这香铺也不在这里开了．便把帐物攒了一攒，该给人的给人，该贱发的贱发了，象这细贵的货，都分着送与亲朋．他就一共送了我些冰片，麝香．我就和我母亲商量，若要转买，不但卖不出原价来，而且谁家拿这些银子买这个作什么，便是很有钱的大家子，也不过使个几分几钱就挺折腰了，若说送人，也没个人配使这些，倒叫他一文不值半文转卖了．因此我就想起婶子来．往年间我还见婶子大包的银子买这些东西呢，别说今年贵妃宫中，就是这个端阳节下，不用说这些香料自然是比往常加上十倍去的．因此想来想去，只孝顺婶子一个人才合式，方不算遭塌这东西。
凤姐,接过芸哥儿的来，送了家去，交给平儿。
贾芸,原来叔叔也曾提我的？
凤姐,我如今要告诉他那话，倒叫他看着我见不得东西似的，为得了这点子香，就混许他管事了．今儿先别提起这事。
贾芸,宝二爷没下来？
焙茗,今儿总没下来．二爷说什么，我替你哨探哨探去。
焙茗,好，好，正抓不着个信儿。
焙茗,等了这一日，也没个人儿过来．这就是宝二爷房里的．好姑娘，你进去带个信儿，就说廊上的二爷来了。
贾芸,什么是廊上廊下的，你只说是芸儿就是了。
那丫头,依我说，二爷竟请回家去，有什么话明儿再来．今儿晚上得空儿我回了他。
焙茗,这是怎么说？
丫头,他今儿也没睡中觉，自然吃的晚饭早．晚上他又不下来．难道只是耍的二爷在这里等着挨饿不成！不如家去，明儿来是正经．便是回来有人带信，那都是不中用的．他不过口里应着，他倒给带呢！
贾芸,这话倒是，我明儿再来。
焙茗,我倒茶去，二爷吃了茶再去。
贾芸,不吃茶，我还有事呢。
子,芸儿，你竟有胆子在我的跟前弄鬼．怪道你送东西给我，原来你有事求我．昨儿你叔叔才告诉我说你求他。
贾芸,求叔叔这事，婶子休提，我昨儿正后悔呢．早知这样，我竟一起头求婶子，这会子也早完了．谁承望叔叔竟不能的．
凤姐,怪道你那里没成儿，昨儿又来寻我。
贾芸,婶子辜负了我的孝心，我并没有这个意思．若有这个意思，昨儿还不求婶子．如今婶子既知道了，我倒要把叔叔丢下，少不得求婶子好歹疼我一点儿。
凤姐,你们要拣远路儿走，叫我也难说．早告诉我一声儿，有什么不成的，多大点子事，耽误到这会子．那园子里还要种花，我只想不出一个人来，你早来不早完了。
贾芸,既这样，婶子明儿就派我罢。
凤姐,这个我看着不大好．等明年正月里烟火灯烛那个大宗儿下来，再派你罢。
贾芸,好婶子，先把这个派了我罢．果然这个办的好，再派我那个。
凤姐,你倒会拉长线儿．罢了，要不是你叔叔说，我不管你的事．我也不过吃了饭就过来，你到午错的时候来领银子，后儿就进去种树。
袭人,罢，罢，不用你们了。
宝玉,二爷仔细烫了手，让我们来倒。
宝玉,你在那里的？忽然来了，唬我一跳。
丫头,我在后院子里，才从里间的后门进来，难道二爷就没听见脚步响？
宝玉,你也是我这屋里的人么？
丫头,是的。
宝玉,既是这屋里的，我怎么不认得？
丫头,认不得的也多，岂只我一个．从来我又不递茶递水，拿东拿西，眼见的事一点儿不作，那里认得呢。
宝玉,你为什么不作那眼见的事？
丫头,这话我也难说．只是有一句话回二爷：昨儿有个什么芸儿来找二爷．我想二爷不得空儿，便叫焙茗回他，叫他今日早起来，不想二爷又往北府里去了．
二,我何曾在屋里的？只因我的手帕子不见了，往后头找手帕子去．不想二爷要茶吃，叫姐姐们一个没有，是我进去了，才倒了茶，姐姐们便来了。
秋纹,没脸的下流东西！正经叫你去催水去，你说有事故，倒叫我们去，你可等着做这个巧宗儿．一里一里的，这不上来了．难道我们倒跟不上你了？你也拿镜子照照，配递茶递水不配！
碧痕,明儿我说给他们，凡要茶要水送东送西的事，咱们都别动，只叫他去便是了。
秋纹,这么说，不如我们散了，单让他在这屋里呢．
老嬷嬷,明日有人带花儿匠来种树，叫你们严禁些，衣服裙子别混晒混晾的．那土山上一溜都拦着帏ぜ呢，可别混跑。
秋纹,明儿不知是谁带进匠人来监工？
婆子,说什么后廊上的芸哥儿。
红玉,红玉，你的手帕子我拾在这里呢。
红玉,二爷在那里拾着的？
贾芸,你过来，我告诉你。
袭人,我们这里的喷壶还没有收拾了来呢，你到林姑娘那里去，把他们的借来使使。
贾环,你安些分罢，何苦讨这个厌那个厌的。
贾环,我也知道了，你别哄我．如今你和宝玉好，把我不答理，我也看出来了。
彩霞,没良心的！狗咬吕洞宾，不识好人心。
王夫人,我的儿，你又吃多了酒，脸上滚热．你还只是揉搓，一会闹上酒来．还不在那里静静的倒一会子呢。
宝玉,好姐姐，你也理我理儿呢。
彩霞,再闹，我就嚷了。
宝玉,老三还是这么慌脚鸡似的，我说你上不得高台盘．赵姨娘时常也该教导教导他。
王夫人,养出这样黑心不知道理下流种子来，也不管管！几番几次我都不理论，你们得了意了，越发上来了！
王夫人,有些疼，还不妨事．明儿老太太问，就说是我自己烫的罢了。
凤姐,便说是自己烫的，也要骂人为什么不小心看着，叫你烫了！横竖有一场气生的，到明儿凭你怎么说去罢。
宝玉,我瞧瞧烫了那里了，有什么遮着藏着的。
宝玉,也不很疼，养一两日就好了。
马道婆,管保就好了，这不过是一时飞灾。
贾母,这有什么佛法解释没有呢？
马道婆,这个容易，只是替他多作些因果善事也就罢了．再那经上还说，西方有位大光明普照菩萨，专管照耀阴暗邪祟，若有善男子善女子虔心供奉者，可以永佑儿孙康宁安静，再无惊恐邪祟撞客之灾。
贾母,倒不知怎么个供奉这位菩萨？
马道婆,也不值些什么，不过除香烛供养之外，一天多添几斤香油，点上个大海灯．这海灯，便是菩萨现身法像，昼夜不敢息的。
贾母,一天一夜也得多少油？明白告诉我，我也好作这件功德的．
马道婆,这也不拘，随施主菩萨们随心愿舍罢了．象我们庙里，就有好几处的王妃诰命供奉的：南安郡王府里的太妃，他许的多，愿心大，一天是四十八斤油，一斤灯草，那海灯也只比缸略小些，锦田侯的诰命次一等，一天不过二十四斤油，再还有几家也有五斤的，三斤的，一斤的，都不拘数．那小家子穷人家舍不起这些，就是四两半斤，也少不得替他点。
马道婆,还有一件，若是为父母尊亲长上的，多舍些不妨，若是象老祖宗如今为宝玉，若舍多了倒不好，还怕哥儿禁不起，倒折了福．也不当家花花的，要舍，大则七斤，小则五斤，也就是了。
贾母,既是这样说，你便一日五斤合准了，每月打趸来关了去。
贾母,以后大凡宝玉出门的日子，拿几串钱交给他的小子们带着，遇见僧道穷苦人好舍。
马道婆,可是我正没了鞋面子了．赵奶奶你有零碎缎子，不拘什么颜色的，弄一双鞋面给我。
赵姨娘,你瞧瞧那里头，还有那一块是成样的？成了样的东西，也不能到我手里来！有的没的都在这里，你不嫌，就挑两块子去。
赵姨娘,前日我送了五百钱去，在药王跟前上供，你可收了没有？
马道婆,早已替你上了供了。
赵姨娘,阿弥陀佛！我手里但凡从容些，也时常的上个供，只是心有余力量不足。
马道婆,你只管放心，将来熬的环哥儿大了，得个一官半职，那时你要作多大的功德不能？
赵姨娘,罢，罢，再别说起．如今就是个样儿，我们娘儿们跟的上这屋里那一个儿！也不是有了宝玉，竟是得了活龙．他还是小孩子家，长的得人意儿，大人偏疼他些也还罢了，我只不伏这个主儿．
马道婆,可是琏二奶奶？
赵姨娘,了不得，了不得！提起这个主儿，这一分家私要不都叫他搬送到娘家去，我也不是个人。
马道婆,我还用你说，难道都看不出来．也亏你们心里也不理论，只凭他去．倒也妙。
赵姨娘,我的娘，不凭他去，难道谁还敢把他怎么样呢？
马道婆,不是我说句造孽的话，你们没有本事！——也难怪别人．明不敢怎样，暗里也就算计了，还等到这如今！
赵姨娘,怎么暗里算计？我倒有这个意思，只是没这样的能干人．你若教给我这法子，我大大的谢你。
马道婆,阿弥陀佛！你快休问我，我那里知道这些事．罪过，罪过。
赵姨娘,你又来了．你是最肯济困扶危的人，难道就眼睁睁的看人家来摆布死了我们娘儿两个不成？难道还怕我不谢你？
马道婆,若说我不忍叫你娘儿们受人委曲还犹可，若说谢我的这两个字，可是你错打算盘了．就便是我希图你谢，靠你有些什么东西能打动我？
赵姨娘,你这么个明白人，怎么糊涂起来了．你若果然法子灵验，把他两个绝了，明日这家私不怕不是我环儿的．那时你要什么不得？
马道婆,那时候事情妥了，又无凭据，你还理我呢！
赵姨娘,这又何难．如今我虽手里没什么，也零碎攒了几两梯己，还有几件衣服簪子，你先拿些去．下剩的，我写个欠银子文契给你，你要什么保人也有，那时我照数给你。
马道婆,果然这样？
赵姨娘,这如何还撒得谎。
赵姨娘,这个你先拿了去做香烛供奉使费，可好不好？
马道婆,把他两个的年庚八字写在这两个纸人身上，一并五个鬼都掖在他们各人的床上就完了．我只在家里作法，自有效验．千万小心，不要害怕！
王夫人的,奶奶可在这里，太太等你呢。
林黛玉,这不又来了一个。
林黛玉,今儿齐全，谁下帖子请来的？
凤姐,前儿我打发了丫头送了两瓶茶叶去，你往那去了？
林黛玉,哦，可是倒忘了，多谢多谢。
凤姐儿,你尝了可还好不好？
宝玉,论理可倒罢了，只是我说不大甚好，也不知别人尝着怎么样。
宝钗,味倒轻，只是颜色不大好些。
凤姐,那是暹罗进贡来的．我尝着也没什么趣儿，还不如我每日吃的呢。
林黛玉,我吃着好，不知你们的脾胃是怎样？
宝玉,你果然爱吃，把我这个也拿了去吃罢。
凤姐,你要爱吃，我那里还有呢。
林黛玉,果真的，我就打发丫头取去了．
凤姐,不用取去，我打发人送来就是了．我明儿还有一件事求你，一同打发人送来。
林黛玉,你们听听，这是吃了他们家一点子茶叶，就来使唤人了。
凤姐,倒求你，你倒说这些闲话，吃茶吃水的．你既吃了我们家的茶，怎么还不给我们家作媳妇？
李宫裁,真真我们二婶子的诙谐是好的。
林黛玉,什么诙谐，不过是贫嘴贱舌讨人厌恶罢了。
凤姐,你别作梦！你给我们家作了媳妇，少什么？
宝玉,你瞧瞧，人物儿，门第配不上，根基配不上，家私配不上？那一点还玷辱了谁呢？
宝钗,颦儿急了，还不回来坐着．走了倒没意思。
王夫人,舅太太来了，请奶奶姑娘们出去呢。
宝玉,我也不能出去，你们好歹别叫舅母进来．
凤姐,有人叫你说话呢。
宝玉,好头疼！
林黛玉,该，阿弥陀佛！
宝玉,我要死！
贾政,儿女之数，皆由天命，非人力可强者．他二人之病出于不意，百般医治不效，想天意该如此，也只好由他们去罢。
赵姨娘,从今以后，我可不在你家了！快收拾了，打发我走罢。
赵姨娘,老太太也不必过于悲痛．哥儿已是不中用了，不如把哥儿的衣服穿好，让他早些回去，也免些苦，只管舍不得他，这口气不断，他在那世里也受罪不安生。
贾母,烂了舌头的混帐老婆，谁叫你来多嘴多舌的！你怎么知道他在那世里受罪不安生？怎么见得不中用了？你愿他死了，有什么好处？你别做梦！他死了，我只和你们要命．素日都不是你们调唆着逼他写字念书，把胆子唬破了，见了他老子不象个避猫鼠儿？都不是你们这起淫妇调唆的！这会子逼死了，你们遂了心，我饶那一个！
有人,两口棺椁都做齐了，请老爷出去看。
贾母,是谁做了棺椁？
木鱼,南无解冤孽菩萨．有那人口不利，家宅颠倾，或逢凶险，或中邪祟者，我们善能医治。
贾政,你道友二人在那庙里焚修。
那僧,长官不须多话．因闻得府上人口不利，故特来医治。
贾政,倒有两个人中邪，不知你们有何符水？
道人,你家现有希世奇珍，如何还问我们有符水？
贾政,小儿落草时虽带了一块宝玉下来，上面说能除邪祟，谁知竟不灵验。
那僧,长官你那里知道那物的妙用．只因他如今被声色货利所迷，故不灵验了．你今且取他出来，待我们持颂持颂，只怕就好了。
王夫人,宝姐姐，好好的笑什么？
宝钗,我笑如来佛比人还忙：又要讲经说法，又要普渡众生，这如今宝玉，凤姐姐病了，又烧香还愿，赐福消灾，今才好些，又管林姑娘的姻缘了．你说忙的可笑不可笑。
林黛玉,你们这起人不是好人，不知怎么死！再不跟着好人学，只跟着凤姐贫嘴烂舌的学。
红玉,姐姐在屋里没有？
红玉,在家里，你进来罢。
佳蕙,我好造化！才刚在院子里洗东西，宝玉叫往林姑娘那里送茶叶，花大姐姐交给我送去．可巧老太太那里给林姑娘送钱来，正分给他们的丫头们呢．见我去了，林姑娘就抓了两把给我，也不知多少．你替我收着。
佳蕙,你这一程子心里到底觉怎么样？依我说，你竟家去住两日，请一个大夫来瞧瞧，吃两剂药就好了。
红玉,那里的话，好好的，家去作什么！
佳蕙,我想起来了，林姑娘生的弱，时常他吃药，你就和他要些来吃，也是一样。
红玉,胡说！药也是混吃的。
佳蕙,你这也不是个长法儿，又懒吃懒喝的，终久怎么样？
红玉,怕什么，还不如早些儿死了倒干净！
佳蕙,好好的，怎么说这些话？
红玉,你那里知道我心里的事！
佳蕙,可也怨不得，这个地方难站．就象昨儿老太太因宝玉病了这些日子，说跟着伏侍的这些人都辛苦了，如今身上好了，各处还完了愿，叫把跟着的人都按着等儿赏他们．我们算年纪小，上不去，我也不抱怨，象你怎么也不算在里头？我心里就不服．袭人那怕他得十分儿，也不恼他，原该的．说良心话，谁还敢比他呢？别说他素日殷勤小心，便是不殷勤小心，也拼不得．可气晴雯，绮霰他们这几个，都算在上等里去，仗着老子娘的脸面，众人倒捧着他去．你说可气不可气？
红玉,也不犯着气他们．俗语说的好，`千里搭长棚，没有个不散的筵席-，谁守谁一辈子呢？不过三年五载，各人干各人的去了．那时谁还管谁呢？
红玉,这是两个样子，叫你描出来呢。
红玉,倒是谁的？也等不得说完就跑，谁蒸下馒头等着你，怕冷了不成！
小丫头,是绮大姐姐的。
红玉,前儿一枝新笔，放在那里了？怎么一时想不起来。
佳惠,花大姐姐还等着我替他抬箱子呢，你自己取去罢。
红玉,他等着你，你还坐着闲打牙儿？我不叫你取去，他也不等着你了．坏透了的小蹄子！
红玉,李奶奶，你老人家那去了？怎打这里来？
李嬷嬷,你说说，好好的又看上了那个种树的什么云哥儿雨哥儿的，这会子逼着我叫了他来．明儿叫上房里听见，可又是不好。
红玉,你老人家当真的就依了他去叫了？
李嬷嬷,可怎么样呢？
红玉,那一个要是知道好歹，就回不进来才是。
李嬷嬷,他又不痴，为什么不进来？
红玉,既是进来，你老人家该同他一齐来，回来叫他一个人乱碰，可是不好呢。
李嬷嬷,我有那样工夫和他走？不过告诉了他，回来打发个小丫头子或是老婆子，带进他来就完了。
一个,林姐姐，你在这里作什么呢？
红玉,那去？
坠儿,叫我带进芸二爷来。
窗子,快进来罢．我怎么就忘了你两三个月！
的丫头,请二爷里头屋里坐。
宝玉,只从那个月见了你，我叫你往书房里来，谁知接接连连许多事情，就把你忘了。
贾芸,总是我没福，偏偏又遇着叔叔身上欠安．叔叔如今可大安了？
宝玉,大好了．我倒听见说你辛苦了好几天。
贾芸,辛苦也是该当的．叔叔大安了，也是我们一家子的造化。
宝玉,你只管坐着罢．丫头们跟前也是这样。
贾芸,虽如此说，叔叔房里姐姐们，我怎么敢放肆呢。
宝玉,你明儿闲了，只管来。
贾芸,才刚那个与你说话的，他可是叫小红？
坠儿,他倒叫小红．你问他作什么？
贾芸,方才他问你什么手帕子，我倒拣了一块。
坠儿,他问了我好几遍，可有看见他的帕子．我有那么大工夫管这些事！今儿他又问我，他说我替他找着了，他还谢我呢．才在蘅芜苑门口说的，二爷也听见了，不是我撒谎．好二爷，你既拣了，给我罢．我看他拿什么谢我。
袭人,怎么又要睡觉？闷的很，你出去逛逛不是？
宝玉,我要去，只是舍不得你。
袭人,快起来罢！
宝玉,可往那去呢？怪腻腻烦烦的。
袭人,你出去了就好了．只管这么葳蕤，越发心里烦腻。
贾兰,二叔叔在家里呢，我只当出门去了。
宝玉,你又淘气了．好好的射他作什么？
贾兰,这会子不念书，闲着作什么？所以演习演习骑射。
宝玉,把牙栽了，那时才不演呢。
宝玉,`每日家情思睡昏昏．-
宝玉,为甚么`每日家情思睡昏昏-？
两个婆子,妹妹睡觉呢，等醒了再请来．
黛玉,谁睡觉呢。
两三个婆子,我们只当姑娘睡着了。
紫鹃,姑娘醒了，进来伺侯。
黛玉,人家睡觉，你进来作什么？
宝玉,你才说什么？
黛玉,我没说什么。
宝玉,给你个榧子吃！我都听见了。
宝玉,紫鹃，把你们的好茶倒碗我吃。
紫鹃,那里是好的呢？要好的，只是等袭人来。
黛玉,别理他，你先给我舀水去罢。
紫鹃,他是客，自然先倒了茶来再舀水去。
宝玉,好丫头，`若共你多情小姐同鸳帐，怎舍得叠被铺床？-
林黛玉,二哥哥，你说什么？
宝玉,我何尝说什么。
黛玉,如今新兴的，外头听了村话来，也说给我听，看了混帐书，也来拿我取笑儿．我成了爷们解闷的。
袭人,快回去穿衣服，老爷叫你呢．
宝玉,你可知道叫我是为什么？
焙茗,爷快出来罢，横竖是见去的，到那里就知道了。
薛蟠,要不说姨夫叫你，你那里出来的这么快。
焙茗,爷别怪我。
宝玉,你哄我也罢了，怎么说我父亲呢？我告诉姨娘去，评评这个理，可使得么？
薛蟠,好兄弟，我原为求你快些出来，就忘了忌讳这句话．改日你也哄我，说我的父亲就完了。
宝玉,嗳，嗳，越发该死了。
薛蟠,要不是我也不敢惊动，只因明儿五月初三日是我的生日，谁知古董行的程日兴，他不知那里寻了来的这么粗这么长粉脆的鲜藕，这么大的大西瓜，这么长一尾新鲜的鲟鱼，这么大的一个暹罗国进贡的灵柏香熏的暹猪．你说，他这四样礼可难得不难得？那鱼，猪不过贵而难得，这藕和瓜亏他怎么种出来的．我连忙孝敬了母亲，赶着给你们老太太，姨父，姨母送了些去．如今留了些，我要自己吃，恐怕折福，左思右想，除我之外，惟有你还配吃，所以特请你来．可巧唱曲儿的小么儿又才来了，我同你乐一天何如？
宝玉,我的寿礼还未送来，倒先扰了。
薛蟠,可是呢，明儿你送我什么？
宝玉,我可有什么可送的？若论银钱吃的穿的东西，究竟还不是我的，惟有我写一张字，画一张画，才算是我的。
薛蟠,你提画儿，我才想起来．昨儿我看人家一张春宫，画的着实好．上面还有许多的字，也没细看，只看落的款，是`庚黄-画的．真真的好的了不得！
宝玉,古今字画也都见过些，那里有个`庚黄-？
薛蟠,怎么看不真！
宝玉,别是这两字罢？其实与`庚黄-相去不远。
众人,想必是这两字，大爷一时眼花了也未可知
薛蟠,谁知他`糖银-`果银-的。
冯紫英,好呀！也不出门了，在家里高乐罢．
薛蟠,一向少会，老世伯身上康健？
紫英,家父倒也托庇康健．近来家母偶着了些风寒，不好了两天。
薛蟠,这脸上又和谁挥拳的？挂了幌子了。
冯紫英,从那一遭把仇都尉的儿子打伤了，我就记了再不怄气，如何又挥拳？这个脸上，是前日打围，在铁网山教兔鹘捎一翅膀。
宝玉,几时的话？
紫英,三月二十八日去的，前儿也就回来了。
宝玉,怪道前儿初三四儿，我在沈世兄家赴席不见你呢．我要问，不知怎么就忘了．单你去了，还是老世伯也去了？
紫英,可不是家父去，我没法儿，去罢了．难道我闲疯了，咱们几个人吃酒听唱的不乐，寻那个苦恼去？这一次，大不幸之中又大幸。
薛蟠,且入席，有话慢慢的说。
冯紫英,这又奇了．你我这些年，那回儿有这个道理的？果然不能遵命．若必定叫我领，拿大杯来，我领两杯就是了。
宝玉,你到底把这个`不幸之幸-说完了再走。
冯紫英,今儿说的也不尽兴．我为这个，还要特治一东，请你们去细谈一谈，二则还有所恳之处。
薛蟠,越发说的人热剌剌的丢不下．多早晚才请我们，告诉了．也免的人犹疑。
冯紫英,多则十日，少则八天。
袭人,人家牵肠挂肚的等着，你且高乐去，也到底打发人来给个信儿。
宝玉,我何尝不要送信儿，只因冯世兄来了，就混忘了。
宝钗,偏了我们新鲜东西了。
宝玉,姐姐家的东西，自然先偏了我们了。
宝钗,昨儿哥哥倒特特的请我吃，我不吃，叫他留着请人送人罢．我知道我的命小福薄，不配吃那个。
晴雯,有事没事跑了来坐着，叫我们三更半夜的不得睡觉！
晴雯,都睡下了，明儿再来罢！
林黛玉,是我，还不开么？
晴雯,凭你是谁，二爷吩咐的，一概不许放人进来呢！
林黛玉,虽说是舅母家如同自己家一样，到底是客边．如今父母双亡，无依无靠，现在他家依栖．如今认真淘气，也觉没趣。
林黛玉,必竟是宝玉恼我要告他的原故．但只我何尝告你了，你也打听打听，就恼我到这步田地．你今儿不叫我进来，难道明儿就不见面了！
迎春,林妹妹怎么不见？好个懒丫头！这会子还睡觉不成？
宝钗,你们等着，我去闹了他来。
宝钗,他们都在那里呢，你们找他们去罢．我叫林姑娘去就来。
宝钗,你瞧瞧这手帕子，果然是你丢的那块，你就拿着，要不是，就还芸二爷去。
有一人,可不是我那块！拿来给我罢。
又,我既许了谢你，自然不哄你。
又,你别胡说．他是个爷们家，拣了我的东西，自然该还的．我拿什么谢他呢？
宝钗,怪道从古至今那些奸淫狗盗的人，心机都不错．这一开了，见我在这里，他们岂不臊了．况才说话的语音，大似宝玉房里的红儿的言语．他素昔眼空心大，是个头等刁钻古怪东西．今儿我听了他的短儿，一时人急造反，狗急跳墙，不但生事，而且我还没趣．如今便赶着躲了，料也躲不及，少不得要使个`金蝉脱壳-的法子。
宝钗,颦儿，我看你往那里藏！
宝钗,你们把林姑娘藏在那里了？
坠儿,何曾见林姑娘了。
宝钗,我才在河那边看着林姑娘在这里蹲着弄水儿的．我要悄悄的唬他一跳，还没有走到跟前，他倒看见我了，朝东一绕就不见了．别是藏在这里头了。
红玉,了不得了！林姑娘蹲在这里，一定听了话去了！
红玉,这可怎么样呢？
坠儿,便是听了，管谁筋疼，各人干各人的就完了。
红玉,若是宝姑娘听见，还倒罢了．林姑娘嘴里又爱刻薄人，心里又细，他一听见了，倘或走露了风声，怎么样呢？
红玉,奶奶使唤作什么事？
凤姐,我的丫头今儿没跟进我来．我这会子想起一件事来，要使唤个人出去，不知你能干不能干，说的齐全不齐全？
